2022.10.27 12:02:26 INFO  [success] Generated .bloop/programinginscalabook.json
2022.10.27 12:02:26 INFO  [success] Total time: 0 s, completed Oct 27, 2022, 12:02:26 PM
2022.10.27 12:02:26 INFO  time: ran 'sbt bloopInstall' in 16s
2022.10.27 12:02:26 INFO  Disconnecting from Bloop session...
2022.10.27 12:02:26 INFO  Shut down connection with build server.
2022.10.27 12:02:26 INFO  Shut down connection with build server.
2022.10.27 12:02:26 INFO  Attempting to connect to the build server...
2022.10.27 12:02:26 INFO  Bloop uses /Users/tomas.merendon/Library/Java/JavaVirtualMachines/azul-13.0.12/Contents/Home defined at /Users/tomas.merendon/.bloop/bloop.json
2022.10.27 12:02:26 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/.metals/bsp.trace.json or /Users/tomas.merendon/Library/Caches/org.scalameta.metals/bsp.trace.json
2022.10.27 12:02:26 INFO  Attempting to connect to the build server...
2022.10.27 12:02:26 INFO  Bloop uses /Users/tomas.merendon/Library/Java/JavaVirtualMachines/azul-13.0.12/Contents/Home defined at /Users/tomas.merendon/.bloop/bloop.json
2022.10.27 12:02:26 INFO  tracing is disabled for protocol BSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /Users/tomas.merendon/Code/TomyProjects/programingInScalaBook/project/.metals/bsp.trace.json or /Users/tomas.merendon/Library/Caches/org.scalameta.metals/bsp.trace.json
2022.10.27 12:02:26 INFO  time: Connected to build server in 0.12s
2022.10.27 12:02:26 INFO  Connected to Build server: Bloop v1.5.4
2022.10.27 12:02:30 INFO  time: indexed workspace in 3.75s
2022.10.27 12:02:36 INFO  time: code lens generation in 5.22s
2022.10.27 12:18:08 INFO  compiling programinginscalabook (57 scala sources)
2022.10.27 12:18:32 INFO  time: compiled programinginscalabook in 23s
2022.10.27 12:18:49 INFO  compiling programinginscalabook (34 scala sources)
2022.10.27 12:19:02 INFO  compiling programinginscalabook-test (5 scala sources)
2022.10.27 12:19:02 INFO  time: compiled programinginscalabook-test in 0.56s
2022.10.27 12:19:03 INFO  time: compiled programinginscalabook in 14s
